feature,price,notes,max count
吐舌,$3000 NTD,iOS only,
歪嘴,$500 NTD,iOS only,
嘟嘴,$500 NTD,iOS only,
獸耳,$1000+ NTD,預設眨眼晃動,
尾巴,$1000+ NTD,,
其他追加部件,$1000+ NTD,翅膀、犄角,
切換Q版,$3000+ NTD,,
簡易待機動畫,$500+ NTD,揮手、流淚、尾巴晃動,
進階待機動畫,$1500+ NTD,失去面補睡覺,
特殊O型,$300+ NTD,貓嘴、其他,
3*4 O型,$1000 NTD,,
4*4 O型,$1500 NTD,,
配件開關,$300+ NTD,簡易之配件切換,
按鍵表情／特效,$500+ NTD,愛心眼、閃亮亮、暈眩眼,
其他動畫動作,$1500+ NTD,,
吉祥物,$1500+ NTD,,
VBridger O型,$3000+ NTD,需自行另購VBridger插件,
手差分,$1500+ NTD,切換手部動作,
遊戲手把手部動作,$3000+ NTD,,
繪圖版合位偵測,$3000+ NTD,,
頭髮差分,$1500+ NTD,簡易瀏海、馬尾、髮色切換,
追加一組頭髮,$3000+ NTD,完整髮型切換,
服裝差分,$2000+ NTD,簡易之衣物切換,
追加一套服裝,$4000+ NTD,整套衣物換裝,
增加階段修改次數,$2000+ NTD,每階段預設可修改2次超過後需加價,
